ID,Face_Shape,TrialNum,Face_Set,Morph_Type,Pic_Number,Dom
528,2,4,1,2,628,1
528,2,5,1,2,529,2
528,2,6,2,2,20,2
528,2,7,1,1,529,1
528,2,8,2,2,47,3
528,2,9,2,1,57,2
528,2,10,1,1,641,2
528,2,11,1,2,592,4
528,2,12,2,2,150,1
528,2,13,1,1,521,3
528,2,14,1,2,563,2
528,2,15,2,2,105,2
528,2,16,2,1,75,3
528,2,17,2,1,142,1
528,2,18,2,2,76,5
528,2,19,2,1,81,3
528,2,20,1,1,592,5
528,2,21,2,2,26,2
528,2,22,2,1,162,2
528,2,23,1,1,630,1
528,2,24,2,1,141,4
528,2,25,1,2,608,3
528,2,26,1,1,640,3
528,2,27,2,2,45,3
528,2,28,2,1,65,1
528,2,29,1,2,518,2
528,2,30,1,1,672,1
528,2,31,1,2,638,2
528,2,32,1,1,625,2
528,2,33,1,2,672,3
528,2,34,2,2,69,2
528,2,35,2,1,161,1
528,2,36,2,1,91,6
528,2,37,2,1,113,3
528,2,38,2,2,52,3
528,2,39,2,2,16,1
528,2,40,1,2,641,1
529,2,1,2,1,110,
529,2,2,2,2,65,5
529,2,3,2,1,66,3
529,2,4,2,1,100,6
529,2,5,1,1,617,5
529,2,6,1,1,623,5
529,2,7,1,1,601,6
529,2,8,2,2,26,
529,2,9,1,2,628,3
529,2,10,2,2,42,2
529,2,11,1,2,621,7
529,2,12,1,1,643,2
529,2,13,1,1,522,5
529,2,14,1,1,526,4
529,2,15,1,2,504,6
529,2,16,1,2,623,3
529,2,17,2,1,49,1
529,2,18,2,1,71,2
529,2,19,2,2,41,6
529,2,20,2,1,81,3
529,2,21,1,2,641,5
529,2,22,1,1,641,2
529,2,23,1,1,518,4
529,2,24,2,1,7,5
529,2,25,1,2,601,7
529,2,26,2,2,69,6
529,2,27,2,2,109,5
529,2,28,1,1,621,
529,2,29,1,2,592,3
529,2,30,2,2,13,3
529,2,31,2,1,109,2
529,2,32,1,2,604,4
529,2,33,1,2,568,4
529,2,34,2,2,161,5
529,2,35,2,2,91,6
529,2,36,2,1,111,1
529,2,37,2,1,76,3
529,2,38,1,1,603,4
529,2,39,2,2,8,3
529,2,40,1,2,529,5
530,2,1,1,1,512,3
530,2,2,2,1,150,5
530,2,3,2,1,33,5
530,2,4,1,2,617,6
530,2,5,2,2,8,3
530,2,6,1,1,529,2
530,2,7,2,2,81,6
530,2,8,2,2,43,5
530,2,9,1,1,504,2
530,2,10,1,2,640,6
530,2,11,1,2,529,6
530,2,12,1,2,623,4
530,2,13,2,1,16,3
530,2,14,1,2,531,5
530,2,15,2,2,66,
530,2,16,2,1,26,2
530,2,17,2,2,62,3
530,2,18,1,1,608,2
530,2,19,2,1,11,2
530,2,20,2,2,63,4
530,2,21,1,1,673,3
530,2,22,2,2,75,5
530,2,23,2,2,141,2
530,2,24,1,2,641,1
530,2,25,1,1,518,3
530,2,26,2,2,105,3
530,2,27,1,2,568,2
530,2,28,2,1,20,3
530,2,29,1,2,512,4
530,2,30,2,1,75,1
530,2,31,1,2,625,4
530,2,32,2,1,96,3
530,2,33,2,2,161,2
530,2,34,1,2,522,5
530,2,35,2,1,57,3
530,2,36,2,1,86,4
530,2,37,1,1,569,2
530,2,38,1,1,521,6
530,2,39,1,1,623,3
530,2,40,1,1,640,5
531,2,1,1,1,603,4
531,2,2,2,2,113,4
531,2,3,1,2,518,3
531,2,4,2,1,40,6
531,2,5,1,1,623,6
531,2,6,2,1,43,2
531,2,7,1,1,640,5
531,2,8,2,2,70,6
531,2,9,1,1,531,3
531,2,10,1,1,526,3
531,2,11,2,1,80,6
531,2,12,2,1,86,4
531,2,13,1,2,631,6
531,2,14,1,2,638,3
531,2,15,2,2,109,6
531,2,16,2,1,5,3
531,2,17,1,2,512,4
531,2,18,2,2,43,5
531,2,19,2,1,62,5
531,2,20,2,1,110,4
531,2,21,1,2,592,6
531,2,22,1,2,625,6
531,2,23,2,2,30,7
531,2,24,2,2,100,4
531,2,25,1,1,529,5
531,2,26,1,2,630,7
531,2,27,2,1,37,4
531,2,28,1,2,569,7
531,2,29,1,1,673,6
531,2,30,1,1,518,2
531,2,31,1,2,563,4
531,2,32,2,1,106,2
531,2,33,1,1,617,4
531,2,34,1,2,529,6
531,2,35,2,2,69,6
531,2,36,2,2,37,5
531,2,37,2,1,109,4
531,2,38,2,2,141,4
531,2,39,2,2,60,5
531,2,40,1,1,569,4
532,2,1,1,1,529,6
532,2,2,1,2,512,6
532,2,3,2,1,142,
532,2,4,2,2,57,6
532,2,5,2,1,43,5
532,2,6,2,1,86,5
532,2,7,2,2,116,7
532,2,8,1,2,630,5
532,2,9,1,1,631,
532,2,10,2,1,73,5
532,2,11,2,2,106,5
532,2,12,1,2,643,6
